Song ID, Song Score
eOYnD0jAu20,0
kTsIIiV20o0,0
bp8i5E2jXPE,0
IGrhyOtikQ0,0
EBhFHJMVfiI,0
l0GN40EL1VU,0
8OkT5HyumQ4,0
hJqYc62NCKo,1
oJuGlqO85YI,0
B7xai5u_tnk,0
r2i74gg03GI,0
07rtl-zcQhg,0
x8HfLPjE3Rs,0
tOfU-6f2zhI,0
s52QvqaEinw,0
oGxQNQtnr6Q,0
Ex5DD1PuhrY,0
kpz8lpoLvrA,0
m-M1AtrxztU,0
gxEPV4kolz0,0
RwbIvPO9-8g,0
GjWMbN5xEh4,0
YQRHrco73g4,0
n89SKAymNfA,0
3sfY1lRkEVA,0
#NAME?,0
Y8OcmKITqUw,0
7maJOI3QMu0,0
C0AF46uMwzA,0
E4KdU-O6fq4,0
VG5uO6B1S3E,0
cLX797pjoIc,0
L7kF4MXXCoA,0
1VHT2Sp_KQU,0
saDmN2f3HI0,0
VcQIpQB4Fiw,0
m4sx9I7R9S4,0
bCM3clq-_c0,0
MgNItWdfEIU,1
PDSkFeMVNFs,0
MtLHwqbE1eI,0
UWrU7EbzA_8,0
BuJpp3ADMa0,0
urxeNbBc1nk,0
XMJqkkgWitA,0
mhpRipG9Zss,0
YLeid-bIRQA,0
kK81m-A3qpU,0
iPcX6EpJI3o,0
pB-5XG-DbAA,-1
31crA53Dgu0,0
aJOTlE1K90k,0
lY2yjAdbvdQ,0
DDWKuo3gXMQ,0
tdiT57zPx3M,0
#NAME?,0
PNpeJCp1QMU,0
tH6HCQbqoCU,0
60XUgHQo71Q,0
KRUkbAGEjKw,0
sU8rlnKGG8Q,0
yWP5JsA_Rms,0
2Vv-BfVoq4g,0
1eaOdePV2Tc,0
lWbhobTJ1YM,0
zBsXoalh5_k,0
iyIhP5_JcOA,0
GKSRyLdjsPA,0
v_1bJfzCFsU,0
aJxrX42WcjQ,0
RBumgq5yVrA,0
Il6yRSrgHeQ,0
DwKQHdsEzd4,0
jI8YraI4CP0,0
GE6zXADYy3A,0
VPRjCeoBqrI,0
dOZ9NSo1azY,0
yS_ZVXMNYBQ,0
m-PJmmvyP10,0
6RLLOEzdxsM,0
6tkaatkbC2Y,0
OpQFFLBMEPI,0
bsPDQVdAkiQ,0
YbYJKGWrG7U,0
7JJfJgyHYwU,0
UhemfATfVRc,0
SItIaWAjI_4,0
L2NhfzcVmBA,0
RNOTF-znQyw,0
twbZII_djEo,0
SCD2tB1qILc,0
AMvBdD_DHR8,0
-6NQZHyJYO8,0
fgxo-EBuScc,0
uXt04p5XOV4,0
R5-Yl48DsOc,0
EkHTsc9PU2A,0
y4nNtkBXJ0k,0
HjmBLCbTgDo,0
EBWKqtf-7tQ,0
Lw99gXKFNIQ,0
h52717Bo118,0
ojF77_FXjlg,0
Osty6hg2WQ4,0
qY3ZSjCG70E,0
tu0wikRvrGc,0
9AhfkcQOH3U,0
U9pGr6KMdyg,0
450p7goxZqg,0
yO28Z5_Eyls,0
8LRR3duJw-I,0
8iuLXODzL04,0
JWdZEumNRmI,0
un5jZH5n-qE,1
9XIqJue35DE,0
atPenPe6IhA,0
n2cJxvYS4uk,0
nSbhUCM5Z6s,0
t8BgXCWYYMk,0
elfAyK3JyPM,0
1yHqvlcJHss,0
rZAHmFvIico,0
4mWvuqrWRiM,0
oH95nZ7EeQo,0
amOSaNX7KJg,0
SAxg5g2KGpc,0
_pGaz_qN0cw,0
lgh68Swuak0,0
Il-an3K9pjg,0
4N3N1MlvVc4,0
SYi4eayxSqI,0
dvgZkm1xWPE,0
CS9OO0S5w2k,0
kTHNpusq654,0
ZaflNU45bVY,0
VuNIsY6JdUw,0
ZSM3w1v-A_Y,0
DUT5rEU6pqM,0
AWpsOqh8q0M,0
unfzfe8f9NI,0
qeMFqkcPYcg,0
PIb6AZdTr-A,0
4fndeDfaWCg,0
eH3giaIzONA,0
4N1iwQxiHrs,0
zB1Q-PfUvN0,0
izGwDsrQ1eQ,0
hwZNL7QVJjE,0
btPJPFnesV4,0
kVpv8-5XWOI,0
qrO4YZeyl0I,0
psuRGfAaju4,0
uSD4vsh1zDA,0
L_jWHffIx5E,0
djV11Xbc914,0
kffacxfA7G4,0
5NPBIwQyPWE,0
ECyeUYsU14E,0
qHm9MG9xw1o,0
pRpeEdMmmQ0,0
F57P9C4SAW4,0
Lgs9QUtWc3M,0
6g6g2mvItp4,0
LjhCEhWiKXk,0
QGJuMBdaqIw,0
rYEDA3JcQqw,0
yKNxeF4KMsY,0
KlyXNRrsk4A,0
dGghkjpNCQ8,0
2ggzxInyzVE,0
QJO3ROT-A4E,0
hLQl3WQQoQ0,0
1G4isv_Fylg,0
rtOvBOTyX00,0
JRfuAukYTKg,0
Sv6dMFF_yts,0
fWNaR-rxAic,0
1zfzka5VwRc,0
SeIJmciN8mo,0
KRaWnd3LJfs,0
H7HmzwI67ec,0
hRXb7K7k7bQ,0
qM1YMeDsc-M,0
Soa3gO7tL-c,0
IxxstCcJlsc,0
F90Cw4l-8NY,0
uJ_1HMAGb4k,0
